# x0, y0
5.000000000000000000e+01,1.000000000000000000e+02
5.522642316338267676e+01,9.972609476841367382e+01
6.039558454088796680e+01,9.890738003669028444e+01
6.545084971874736368e+01,9.755282581475768211e+01
7.033683215378999876e+01,9.567727288213004044e+01
7.500000000000000000e+01,9.330127018922193827e+01
7.938926261462366085e+01,9.045084971874737789e+01
8.345653031794290655e+01,8.715724127386971531e+01
8.715724127386971531e+01,8.345653031794290655e+01
9.045084971874737789e+01,7.938926261462366085e+01
9.330127018922192406e+01,7.500000000000000000e+01
9.567727288213004044e+01,7.033683215379002718e+01
9.755282581475768211e+01,6.545084971874737789e+01
9.890738003669028444e+01,6.039558454088797390e+01
9.972609476841367382e+01,5.522642316338268387e+01
1.000000000000000000e+02,5.000000000000000000e+01
9.972609476841367382e+01,4.477357683661733034e+01
9.890738003669028444e+01,3.960441545911204742e+01
9.755282581475768211e+01,3.454915028125263632e+01
9.567727288213004044e+01,2.966316784620999769e+01
9.330127018922193827e+01,2.500000000000000711e+01
9.045084971874737789e+01,2.061073738537634981e+01
8.715724127386971531e+01,1.654346968205710766e+01
8.345653031794292076e+01,1.284275872613029890e+01
7.938926261462366085e+01,9.549150281252636319e+00
7.500000000000001421e+01,6.698729810778075944e+00
7.033683215379002718e+01,4.322727117869959557e+00
6.545084971874737789e+01,2.447174185242324995e+00
6.039558454088798811e+01,1.092619963309722664e+00
5.522642316338268387e+01,2.739052315863332865e-01
5.000000000000000711e+01,0.000000000000000000e+00
4.477357683661734455e+01,2.739052315863332865e-01
3.960441545911204742e+01,1.092619963309715558e+00
3.454915028125263632e+01,2.447174185242317890e+00
2.966316784621000835e+01,4.322727117869945346e+00
2.500000000000001066e+01,6.698729810778061733e+00
2.061073738537634981e+01,9.549150281252629213e+00
1.654346968205710766e+01,1.284275872613027047e+01
1.284275872613029890e+01,1.654346968205707924e+01
9.549150281252636319e+00,2.061073738537633915e+01
6.698729810778083049e+00,2.499999999999997868e+01
4.322727117869973767e+00,2.966316784620995506e+01
2.447174185242324995e+00,3.454915028125262211e+01
1.092619963309722664e+00,3.960441545911201189e+01
2.739052315863332865e-01,4.477357683661728771e+01
0.000000000000000000e+00,4.999999999999999289e+01
2.739052315863332865e-01,5.522642316338264834e+01
1.092619963309708453e+00,6.039558454088792416e+01
2.447174185242317890e+00,6.545084971874736368e+01
4.322727117869945346e+00,7.033683215378998455e+01
6.698729810778047522e+00,7.499999999999997158e+01
9.549150281252622108e+00,7.938926261462364664e+01
1.284275872613027047e+01,8.345653031794289234e+01
1.654346968205705792e+01,8.715724127386968689e+01
2.061073738537633204e+01,9.045084971874736368e+01
2.499999999999997868e+01,9.330127018922192406e+01
2.966316784620995151e+01,9.567727288213002623e+01
3.454915028125261500e+01,9.755282581475768211e+01
3.960441545911200478e+01,9.890738003669028444e+01
4.477357683661728771e+01,9.972609476841367382e+01
