# x0, y0
5.000000000000000000e+01,7.500000000000000000e+01
5.522642316338267676e+01,7.445369001834514222e+01
6.039558454088796680e+01,7.283863644106502022e+01
6.545084971874736368e+01,7.022542485937368895e+01
7.033683215378999876e+01,6.672826515897145327e+01
7.500000000000000000e+01,6.250000000000000000e+01
7.938926261462366085e+01,5.772542485937368895e+01
8.345653031794290655e+01,5.261321158169134549e+01
8.715724127386971531e+01,4.738678841830866872e+01
9.045084971874737789e+01,4.227457514062631816e+01
9.330127018922192406e+01,3.750000000000000000e+01
9.567727288213004044e+01,3.327173484102855383e+01
9.755282581475768211e+01,2.977457514062631816e+01
9.890738003669028444e+01,2.716136355893497978e+01
9.972609476841367382e+01,2.554630998165486133e+01
1.000000000000000000e+02,2.500000000000000000e+01
9.972609476841367382e+01,2.554630998165485778e+01
9.890738003669028444e+01,2.716136355893497267e+01
9.755282581475768211e+01,2.977457514062631461e+01
9.567727288213004044e+01,3.327173484102853962e+01
9.330127018922193827e+01,3.749999999999998579e+01
9.045084971874737789e+01,4.227457514062631105e+01
8.715724127386971531e+01,4.738678841830864741e+01
8.345653031794292076e+01,5.261321158169132417e+01
7.938926261462366085e+01,5.772542485937368184e+01
7.500000000000001421e+01,6.249999999999998579e+01
7.033683215379002718e+01,6.672826515897145327e+01
6.545084971874737789e+01,7.022542485937367474e+01
6.039558454088798811e+01,7.283863644106500601e+01
5.522642316338268387e+01,7.445369001834514222e+01
5.000000000000000711e+01,7.500000000000000000e+01
4.477357683661734455e+01,7.445369001834514222e+01
3.960441545911204742e+01,7.283863644106503443e+01
3.454915028125263632e+01,7.022542485937368895e+01
2.966316784621000835e+01,6.672826515897146749e+01
2.500000000000001066e+01,6.250000000000001421e+01
2.061073738537634981e+01,5.772542485937369605e+01
1.654346968205710766e+01,5.261321158169135970e+01
1.284275872613029890e+01,4.738678841830867583e+01
9.549150281252636319e+00,4.227457514062632526e+01
6.698729810778083049e+00,3.750000000000002132e+01
4.322727117869973767e+00,3.327173484102857515e+01
2.447174185242324995e+00,2.977457514062631816e+01
1.092619963309722664e+00,2.716136355893498688e+01
2.739052315863332865e-01,2.554630998165486488e+01
0.000000000000000000e+00,2.500000000000000000e+01
2.739052315863332865e-01,2.554630998165485423e+01
1.092619963309708453e+00,2.716136355893496201e+01
2.447174185242317890e+00,2.977457514062630750e+01
4.322727117869945346e+00,3.327173484102853251e+01
6.698729810778047522e+00,3.749999999999996447e+01
9.549150281252622108e+00,4.227457514062630395e+01
1.284275872613027047e+01,4.738678841830864030e+01
1.654346968205705792e+01,5.261321158169129575e+01
2.061073738537633204e+01,5.772542485937367474e+01
2.499999999999997868e+01,6.249999999999997868e+01
2.966316784620995151e+01,6.672826515897142485e+01
3.454915028125261500e+01,7.022542485937367474e+01
3.960441545911200478e+01,7.283863644106500601e+01
4.477357683661728771e+01,7.445369001834512801e+01
